author_id,dataset,has_bio,llama_gender,mistral_gender,agreed_gender,llama_political,mistral_political,agreed_political,llama_minority,mistral_minority,agreed_minority,n_messages,n_rounds,agreement_rate
DianaHe50951535,twitter,True,female,female,female,right,right,right,no,no,no,15,1,1.0
DonClemens7,twitter,True,female,female,female,right,right,right,no,unknown,unknown,45,3,0.6666666666666666
Dpitt35,twitter,True,male,male,male,center-right,unknown,unknown,no,no,no,45,3,0.6666666666666666
DrElisabethCrim,twitter,True,female,female,female,left,left,left,unknown,unknown,unknown,15,1,1.0
Drpepperbucco,twitter,True,male,male,male,center-right,unknown,unknown,no,no,no,45,3,0.6666666666666666
DruagaBlackhart,twitter,True,male,male,male,unknown,unknown,unknown,unknown,unknown,unknown,15,1,1.0
DumondVince,twitter,True,male,male,male,left,right,unknown,no,unknown,unknown,45,3,0.3333333333333333
Dzs722,twitter,True,female,female,female,right,right,right,no,no,no,30,2,1.0
Elizabeth77084,twitter,True,female,female,female,right,right,right,unknown,unknown,unknown,30,2,1.0
ErikaAwakening,twitter,True,female,female,female,right,right,right,unknown,unknown,unknown,30,2,1.0
FFAFamily,twitter,True,female,female,female,right,right,right,no,unknown,unknown,45,3,0.6666666666666666
Farmgurl64,twitter,True,female,female,female,right,right,right,no,no,no,15,1,1.0
FearDeathRanger,twitter,True,female,female,female,right,right,right,unknown,unknown,unknown,45,3,1.0
Financetalkss,twitter,True,unknown,unknown,unknown,center-left,center-right,unknown,no,no,no,45,3,0.6666666666666666
Fur_Baby_Mama,twitter,True,male,male,male,right,right,right,no,no,no,30,2,1.0
G_stillz,twitter,True,male,male,male,center-left,unknown,unknown,no,no,no,45,3,0.6666666666666666
GeorgeVandelay3,twitter,True,female,female,female,left,left,left,unknown,unknown,unknown,15,1,1.0
GladmanDavid,twitter,True,unknown,male,unknown,unknown,unknown,unknown,unknown,no,unknown,45,3,0.3333333333333333
GlenWalken,twitter,True,male,male,male,left,left,left,unknown,unknown,unknown,15,1,1.0
Grandma_zorro,twitter,True,female,female,female,right,right,right,no,no,no,15,1,1.0
HYPOX1C,twitter,False,female,female,female,right,unknown,unknown,unknown,unknown,unknown,45,3,0.6666666666666666
HesterTerin,twitter,False,male,male,male,unknown,unknown,unknown,no,no,no,15,1,1.0
Home2Hollywood,twitter,True,female,female,female,unknown,unknown,unknown,no,no,no,15,1,1.0
Indian_Bronson,twitter,True,male,unknown,unknown,left,left,left,no,unknown,unknown,45,3,0.3333333333333333
IrinaNazarova14,twitter,True,female,female,female,right,right,right,no,unknown,unknown,45,3,0.6666666666666666
JEHutton,twitter,True,male,male,male,right,right,right,no,no,no,45,3,1.0
JHulsey4UGA,twitter,True,male,male,male,right,unknown,unknown,no,no,no,45,3,0.6666666666666666
JOAPATRIOT47,twitter,True,male,female,unknown,right,right,right,unknown,unknown,unknown,45,3,0.6666666666666666
JakeTurx,twitter,True,male,female,unknown,right,center-left,unknown,no,unknown,unknown,45,3,0.0
JamesWAVL82,twitter,False,male,female,unknown,center-right,unknown,unknown,no,unknown,unknown,45,3,0.0
JasonStiff,twitter,True,female,female,female,left,center-left,unknown,no,no,no,45,3,0.6666666666666666
JennyS273019,twitter,True,female,female,female,right,right,right,no,unknown,unknown,45,3,0.6666666666666666
Jensav1,twitter,True,female,female,female,right,right,right,no,no,no,15,1,1.0
JimA6to4to3,twitter,True,male,male,male,right,right,right,no,no,no,15,1,1.0
JimmyReynolds59,twitter,True,male,male,male,right,right,right,no,no,no,45,3,1.0
Jodilee01,twitter,True,female,female,female,right,right,right,no,no,no,30,2,1.0
JohnWil18086414,twitter,True,male,male,male,right,right,right,unknown,unknown,unknown,45,3,1.0
JudgeBerkowitz,twitter,True,unknown,unknown,unknown,center-right,center-right,center-right,no,no,no,30,2,1.0
KMag00,twitter,False,unknown,unknown,unknown,left,right,unknown,no,unknown,unknown,45,3,0.3333333333333333
Kathy_Arizona,twitter,True,female,female,female,right,right,right,no,unknown,unknown,45,3,0.6666666666666666
Katsiamides,twitter,True,male,male,male,right,right,right,unknown,no,unknown,45,3,0.6666666666666666
KeithConnelly3,twitter,True,male,male,male,right,right,right,no,no,no,15,1,1.0
Kelly1010x,twitter,False,male,male,male,right,right,right,no,no,no,30,2,1.0
KrayZmnd,twitter,True,male,male,male,right,unknown,unknown,unknown,no,unknown,45,3,0.3333333333333333
LLGnine,twitter,True,female,female,female,center-right,center-right,center-right,no,no,no,15,1,1.0
LeezaquQ,twitter,True,female,female,female,right,right,right,unknown,unknown,unknown,30,2,1.0
LibbyTard6,twitter,True,female,female,female,right,right,right,no,unknown,unknown,45,3,0.6666666666666666
Lindaluvinlife2,twitter,True,female,female,female,right,right,right,unknown,unknown,unknown,45,3,1.0
LoriLaubach5,twitter,True,male,male,male,right,right,right,no,unknown,unknown,45,3,0.6666666666666666
Luckilyalive66,twitter,True,female,female,female,left,left,left,unknown,unknown,unknown,30,2,1.0
Maga2020Danielc,twitter,True,male,male,male,right,right,right,no,no,no,15,1,1.0
MarchandSurgery,twitter,True,female,female,female,left,center-left,unknown,no,no,no,45,3,0.6666666666666666
MatthewScott___,twitter,True,male,male,male,left,center-left,unknown,no,unknown,unknown,45,3,0.3333333333333333
MatthewSix34,twitter,True,male,male,male,right,right,right,no,unknown,unknown,45,3,0.6666666666666666
MeganChodzko,twitter,True,female,female,female,center-left,unknown,unknown,no,yes,unknown,45,3,0.3333333333333333
Melchizedek1972,twitter,True,male,male,male,right,right,right,no,no,no,45,3,1.0
MexicoBoobie,twitter,True,male,male,male,center-right,unknown,unknown,yes,yes,yes,45,3,0.6666666666666666
Michael87573240,twitter,True,male,male,male,right,center-right,unknown,no,no,no,7,1,0.6666666666666666
MichiganFan74,twitter,False,male,male,male,right,right,right,no,no,no,30,2,1.0
MikeGledhillCPA,twitter,True,male,male,male,right,right,right,no,no,no,15,1,1.0
MistyMckeown,twitter,True,female,female,female,right,right,right,no,no,no,45,3,1.0
MsIB,twitter,True,female,female,female,left,left,left,unknown,unknown,unknown,15,1,1.0
NYCgooner82,twitter,True,male,male,male,right,unknown,unknown,no,no,no,45,3,0.6666666666666666
NancyLu12060582,twitter,True,female,male,unknown,right,right,right,no,unknown,unknown,45,3,0.3333333333333333
Nellie18387575,twitter,True,female,female,female,right,right,right,unknown,unknown,unknown,45,3,1.0
NyKiLopez,twitter,True,female,female,female,left,left,left,unknown,unknown,unknown,45,3,1.0
Oldman465,twitter,True,male,male,male,right,right,right,no,no,no,45,3,1.0
OnlyFansbrokie,twitter,True,male,male,male,right,unknown,unknown,no,yes,unknown,45,3,0.3333333333333333
Pipe_Dreams,twitter,True,female,female,female,right,right,right,no,no,no,15,1,1.0
PoliticalAnt,twitter,True,female,female,female,left,left,left,yes,yes,yes,15,1,1.0
PrellerEnjoyer,twitter,True,male,male,male,center-right,unknown,unknown,no,no,no,45,3,0.6666666666666666
ProSportsCPA,twitter,True,male,male,male,right,center-right,unknown,no,no,no,45,3,0.6666666666666666
RDog861,twitter,True,male,male,male,right,center-right,unknown,no,no,no,45,3,0.6666666666666666
RL_4444,twitter,True,female,female,female,right,right,right,unknown,unknown,unknown,30,2,1.0
RL_Miller,twitter,True,female,female,female,left,left,left,unknown,unknown,unknown,15,1,1.0
RachGall,twitter,True,female,female,female,unknown,unknown,unknown,unknown,unknown,unknown,45,3,1.0
RebeccaMtn,twitter,True,female,male,unknown,right,right,right,no,no,no,45,3,0.6666666666666666
RedEaglePatriot,twitter,True,male,male,male,right,right,right,no,no,no,30,2,1.0
Resahollywood,twitter,True,female,female,female,right,right,right,no,no,no,30,2,1.0
RichHaskin,twitter,True,male,male,male,right,right,right,no,no,no,30,2,1.0
RightGlockMom,twitter,True,female,female,female,right,right,right,no,no,no,15,1,1.0
RightyJim,twitter,True,male,male,male,right,right,right,no,no,no,30,2,1.0
RobbieShapiHoe,twitter,True,female,female,female,unknown,unknown,unknown,yes,unknown,unknown,45,3,0.6666666666666666
Ronanz0,twitter,True,male,unknown,unknown,right,unknown,unknown,no,unknown,unknown,45,3,0.0
Roto_Wizard,twitter,True,male,male,male,right,right,right,no,unknown,unknown,45,3,0.6666666666666666
SHiltonMagic,twitter,True,female,female,female,left,left,left,yes,yes,yes,15,1,1.0
SaintDonald45,twitter,True,unknown,female,unknown,right,right,right,no,unknown,unknown,45,3,0.3333333333333333
ScottNMinnis,twitter,True,male,female,unknown,left,left,left,no,unknown,unknown,45,3,0.3333333333333333
Severe333,twitter,False,male,male,male,center-right,unknown,unknown,no,no,no,45,3,0.6666666666666666
StandingwBiden,twitter,True,female,female,female,left,left,left,unknown,unknown,unknown,45,3,1.0
StebbingAndy1,twitter,True,female,female,female,right,right,right,unknown,unknown,unknown,45,3,1.0
StevePh84420573,twitter,True,male,female,unknown,center-right,center-right,center-right,no,no,no,45,3,0.6666666666666666
TeeHardin,twitter,True,male,male,male,unknown,unknown,unknown,no,no,no,15,1,1.0
TheDankSinatra,twitter,True,male,male,male,unknown,unknown,unknown,no,no,no,15,1,1.0
TheTomCasale,twitter,True,male,male,male,center-right,unknown,unknown,no,no,no,45,3,0.6666666666666666
The_LadyAnn,twitter,True,female,female,female,left,left,left,unknown,unknown,unknown,30,2,1.0
TruthsayerJack,twitter,True,male,male,male,right,right,right,unknown,unknown,unknown,45,3,1.0
VolpeEnthusiast,twitter,True,male,male,male,right,unknown,unknown,no,no,no,45,3,0.6666666666666666
WeauBilliams,twitter,True,male,male,male,left,left,left,unknown,unknown,unknown,45,3,1.0
WhitleyOConnor,twitter,True,female,unknown,unknown,left,unknown,unknown,unknown,unknown,unknown,45,3,0.3333333333333333
Y0uAreInLov3x,twitter,True,unknown,unknown,unknown,unknown,unknown,unknown,no,unknown,unknown,45,3,0.6666666666666666
_Graziosi,twitter,True,female,female,female,left,unknown,unknown,yes,yes,yes,45,3,0.6666666666666666
a_bi_bitch3,twitter,True,female,female,female,center-right,unknown,unknown,unknown,unknown,unknown,45,3,0.6666666666666666
abhdrew,twitter,True,female,female,female,left,left,left,unknown,unknown,unknown,45,3,1.0
aileentotheleft,twitter,True,female,female,female,center-left,unknown,unknown,unknown,yes,unknown,45,3,0.3333333333333333
ammaclara,twitter,True,female,female,female,left,left,left,unknown,unknown,unknown,45,3,1.0
anggggg7277,twitter,True,female,female,female,right,right,right,no,unknown,unknown,45,3,0.6666666666666666
artseely,twitter,True,male,male,male,right,right,right,no,no,no,15,1,1.0
atchfam77,twitter,True,male,male,male,right,right,right,no,no,no,30,2,1.0
azlady8888,twitter,True,female,female,female,right,right,right,no,unknown,unknown,45,3,0.6666666666666666
batistanem416,twitter,True,male,male,male,center-right,unknown,unknown,no,no,no,45,3,0.6666666666666666
bettyboop7499,twitter,True,female,female,female,right,right,right,no,no,no,30,2,1.0
brent_shavnore,twitter,True,male,male,male,right,right,right,no,no,no,15,1,1.0
bwindels,twitter,True,female,female,female,left,left,left,unknown,unknown,unknown,45,3,1.0
carla_fedigan,twitter,True,female,female,female,right,right,right,no,unknown,unknown,45,3,0.6666666666666666
cdsavannah59,twitter,False,female,female,female,right,right,right,no,unknown,unknown,45,3,0.6666666666666666
charbinks,twitter,True,female,female,female,left,unknown,unknown,no,no,no,45,3,0.6666666666666666
cjmango2012,twitter,True,female,female,female,right,right,right,no,no,no,30,2,1.0
comptontaylor_,twitter,True,unknown,unknown,unknown,left,center-left,unknown,no,unknown,unknown,45,3,0.3333333333333333
conorsen,twitter,True,male,male,male,center-left,center-left,center-left,unknown,unknown,unknown,45,3,1.0
cwoodard83101,twitter,True,male,male,male,left,left,left,unknown,no,unknown,45,3,0.6666666666666666
danorlovsky7,twitter,True,male,male,male,center-right,unknown,unknown,no,no,no,45,3,0.6666666666666666
dburlingame49,twitter,True,male,male,male,right,right,right,no,no,no,30,2,1.0
dc_armstrong,twitter,True,male,male,male,left,left,left,unknown,unknown,unknown,30,2,1.0
dentalasst4,twitter,False,unknown,unknown,unknown,unknown,unknown,unknown,no,unknown,unknown,45,3,0.6666666666666666
dianabhenriques,twitter,True,female,female,female,left,left,left,no,unknown,unknown,45,3,0.6666666666666666
dleefinance,twitter,True,male,male,male,right,right,right,no,no,no,45,3,1.0
dmackdaddy,twitter,True,male,male,male,right,center-right,unknown,no,no,no,45,3,0.6666666666666666
elhamudinmastan,twitter,True,male,male,male,right,right,right,no,no,no,30,2,1.0
elnhopkins,twitter,False,female,female,female,right,right,right,unknown,unknown,unknown,30,2,1.0
farel_john,twitter,True,male,male,male,center-right,unknown,unknown,no,no,no,45,3,0.6666666666666666
fight4women,twitter,True,female,female,female,left,left,left,unknown,unknown,unknown,30,2,1.0
flyassbetty,twitter,True,female,female,female,left,left,left,yes,yes,yes,15,1,1.0
flyersfan831,twitter,False,male,male,male,unknown,unknown,unknown,no,unknown,unknown,45,3,0.6666666666666666
fromlos,twitter,True,male,male,male,right,right,right,no,no,no,15,1,1.0
gatheringgina,twitter,True,female,female,female,unknown,unknown,unknown,no,no,no,15,1,1.0
giannipov,twitter,True,male,male,male,right,right,right,no,no,no,30,2,1.0
glenndalfsmagic,twitter,True,unknown,unknown,unknown,right,right,right,no,unknown,unknown,45,3,0.6666666666666666
hrdiehl,twitter,True,female,female,female,left,left,left,unknown,unknown,unknown,45,3,1.0
iStones,twitter,True,male,male,male,right,right,right,no,no,no,45,3,1.0
ianzelbo,twitter,False,male,male,male,left,center-left,unknown,unknown,unknown,unknown,45,3,0.6666666666666666
integrity4kids,twitter,True,female,female,female,left,left,left,unknown,unknown,unknown,30,2,1.0
j_j_j_t_m,twitter,True,unknown,unknown,unknown,center-left,unknown,unknown,no,no,no,45,3,0.6666666666666666
jackleonard1956,twitter,True,male,unknown,unknown,left,center-left,unknown,unknown,unknown,unknown,45,3,0.3333333333333333
jaridcolaci,twitter,True,male,male,male,right,right,right,no,no,no,45,3,1.0
javycane,twitter,True,male,male,male,right,unknown,unknown,no,no,no,45,3,0.6666666666666666
jeaniegirl7,twitter,True,female,female,female,left,unknown,unknown,yes,yes,yes,45,3,0.6666666666666666
jennyghammond,twitter,True,female,female,female,left,left,left,yes,yes,yes,15,1,1.0
jfrankie91,twitter,True,unknown,unknown,unknown,center-right,center-right,center-right,no,no,no,15,1,1.0
jjolly74,twitter,True,male,male,male,center-right,unknown,unknown,no,no,no,45,3,0.6666666666666666
jlf0404,twitter,True,female,female,female,left,unknown,unknown,unknown,unknown,unknown,45,3,0.6666666666666666
jlkurtz,twitter,True,male,male,male,center-right,unknown,unknown,no,no,no,45,3,0.6666666666666666
joy_gimbel,twitter,True,female,female,female,left,left,left,unknown,unknown,unknown,45,3,1.0
ka_morian0121,twitter,True,non-binary,female,unknown,left,unknown,unknown,yes,yes,yes,45,3,0.3333333333333333
kalikailey,twitter,True,female,female,female,unknown,unknown,unknown,no,no,no,15,1,1.0
keonwife,twitter,True,female,female,female,center-right,unknown,unknown,no,unknown,unknown,45,3,0.3333333333333333
middleamerica77,twitter,True,female,female,female,right,right,right,no,no,no,15,1,1.0
moneyMakinTeeee,twitter,True,male,male,male,left,unknown,unknown,yes,unknown,unknown,45,3,0.3333333333333333
moto413,twitter,True,male,male,male,right,right,right,unknown,unknown,unknown,30,2,1.0
muffintopmodel,twitter,True,male,male,male,left,unknown,unknown,no,no,no,45,3,0.6666666666666666
musserj88,twitter,True,male,male,male,left,left,left,no,unknown,unknown,45,3,0.6666666666666666
mycroftxxx42,twitter,True,male,male,male,left,left,left,unknown,unknown,unknown,30,2,1.0
neros_fiddle3,twitter,True,male,male,male,right,right,right,no,no,no,15,1,1.0
ninaneddieanto,twitter,True,unknown,unknown,unknown,right,right,right,no,no,no,45,3,1.0
nostinkinroads,twitter,True,female,male,unknown,right,right,right,no,no,no,45,3,0.6666666666666666
oscarmom355,twitter,True,female,female,female,right,right,right,no,no,no,45,3,1.0
par3401prodigy,twitter,True,female,female,female,left,left,left,no,unknown,unknown,45,3,0.6666666666666666
raincrosscbg951,twitter,True,female,female,female,left,left,left,unknown,unknown,unknown,15,1,1.0
rainrubiess,twitter,True,female,unknown,unknown,left,unknown,unknown,unknown,unknown,unknown,45,3,0.3333333333333333
reignpnw,twitter,True,male,male,male,right,right,right,no,unknown,unknown,45,3,0.6666666666666666
rogersqueen,twitter,True,female,female,female,right,right,right,no,unknown,unknown,45,3,0.6666666666666666
ronnie_falgout,twitter,False,female,unknown,unknown,right,right,right,no,unknown,unknown,45,3,0.3333333333333333
rowdyE812,twitter,True,female,female,female,left,center-left,unknown,yes,unknown,unknown,45,3,0.3333333333333333
rw2lite,twitter,True,male,female,unknown,center-right,unknown,unknown,no,no,no,45,3,0.3333333333333333
sandyggreene,twitter,True,female,female,female,left,left,left,no,unknown,unknown,45,3,0.6666666666666666
sararen21,twitter,True,male,male,male,right,right,right,no,no,no,15,1,1.0
savvy167,twitter,True,female,female,female,right,right,right,no,no,no,15,1,1.0
scottybones,twitter,True,non-binary,unknown,unknown,left,left,left,yes,yes,yes,45,3,0.6666666666666666
shadowtharapper,twitter,True,male,male,male,left,left,left,unknown,unknown,unknown,15,1,1.0
shields1o1,twitter,True,male,male,male,center-right,unknown,unknown,no,no,no,45,3,0.6666666666666666
speaking0fkayy,twitter,False,female,female,female,unknown,unknown,unknown,yes,yes,yes,15,1,1.0
stephen8662,twitter,False,unknown,unknown,unknown,right,right,right,no,unknown,unknown,24,2,0.6666666666666666
thadfilms,twitter,True,female,female,female,center-left,unknown,unknown,unknown,unknown,unknown,45,3,0.6666666666666666
thatdudedusty,twitter,True,female,male,unknown,right,right,right,no,no,no,45,3,0.6666666666666666
thetoz128,twitter,True,unknown,unknown,unknown,right,right,right,no,no,no,15,1,1.0
tycoons39,twitter,True,male,male,male,right,right,right,no,no,no,30,2,1.0
wallaceb,twitter,True,male,unknown,unknown,left,center-left,unknown,unknown,unknown,unknown,45,3,0.3333333333333333
wendywendytang,twitter,True,female,female,female,unknown,unknown,unknown,unknown,unknown,unknown,45,3,1.0
zabarini,twitter,True,female,female,female,right,right,right,no,no,no,30,2,1.0
0x_miss_di,twitter,True,unknown,unknown,unknown,center-right,unknown,unknown,unknown,unknown,unknown,45,3,0.6666666666666666
9jzfkrpgkm,twitter,True,male,unknown,unknown,center-right,unknown,unknown,no,no,no,45,3,0.3333333333333333
Adam_Mansfield_,twitter,True,unknown,unknown,unknown,right,right,right,no,no,no,30,2,1.0
BRepert83996,twitter,True,female,female,female,right,right,right,no,no,no,15,1,1.0
Baggz64_,twitter,True,female,female,female,right,right,right,no,unknown,unknown,45,3,0.6666666666666666
BarbInTheKnow,twitter,True,female,female,female,right,right,right,no,unknown,unknown,45,3,0.6666666666666666
Beasley23Tyler,twitter,True,male,male,male,center-right,unknown,unknown,no,no,no,45,3,0.6666666666666666
Betsycashmoney,twitter,True,male,male,male,center-left,unknown,unknown,yes,yes,yes,45,3,0.6666666666666666
BobMori,twitter,True,male,male,male,left,unknown,unknown,no,no,no,45,3,0.6666666666666666
Brahhky,twitter,True,female,female,female,left,left,left,unknown,unknown,unknown,45,3,1.0
BreakerofLibs,twitter,True,male,male,male,right,right,right,no,no,no,15,1,1.0
BridgetCondon_,twitter,True,female,female,female,unknown,unknown,unknown,no,no,no,15,1,1.0
DaTechGuyblog,twitter,True,female,female,female,right,center-right,unknown,no,no,no,45,3,0.6666666666666666
Dannywyzeer,twitter,True,male,male,male,right,right,right,no,no,no,45,3,1.0
Darlene91213470,twitter,True,female,female,female,right,center-right,unknown,no,no,no,45,3,0.6666666666666666
DrakesPats,twitter,True,male,male,male,unknown,unknown,unknown,no,no,no,15,1,1.0
DustinAlkire1,twitter,False,female,female,female,left,left,left,no,no,no,45,3,1.0
FatherRosadoNY,twitter,True,male,male,male,center-right,unknown,unknown,no,no,no,45,3,0.6666666666666666
Fendaren,twitter,True,male,female,unknown,left,left,left,no,unknown,unknown,45,3,0.3333333333333333
FisherMatt007,twitter,True,unknown,male,unknown,center-right,unknown,unknown,no,unknown,unknown,45,3,0.0
Ginos_Yankees,twitter,True,male,male,male,center-right,unknown,unknown,no,no,no,45,3,0.6666666666666666
HillBeverlyhill,twitter,True,female,female,female,left,left,left,unknown,unknown,unknown,30,2,1.0
Joeinblack,twitter,True,male,male,male,left,left,left,no,no,no,45,3,1.0
LOKI_99965,twitter,True,unknown,unknown,unknown,right,right,right,unknown,unknown,unknown,45,3,1.0
LindyJo_74,twitter,True,female,female,female,right,right,right,no,unknown,unknown,45,3,0.6666666666666666
LynxLovesToRead,twitter,True,non-binary,female,unknown,left,left,left,unknown,unknown,unknown,45,3,0.6666666666666666
MartyCaswell,twitter,True,male,male,male,unknown,unknown,unknown,no,no,no,15,1,1.0
MeyerkordD57572,twitter,True,unknown,male,unknown,unknown,right,unknown,unknown,unknown,unknown,45,3,0.3333333333333333
Murph2Times,twitter,True,male,male,male,left,unknown,unknown,yes,yes,yes,45,3,0.6666666666666666
RichVeith,twitter,True,male,male,male,right,right,right,no,unknown,unknown,45,3,0.6666666666666666
ScribblerLA2023,twitter,True,male,male,male,left,left,left,unknown,unknown,unknown,30,2,1.0
SteelCityLance,twitter,True,male,male,male,unknown,unknown,unknown,no,no,no,15,1,1.0
TheAfrocentricI,twitter,True,female,female,female,unknown,unknown,unknown,yes,yes,yes,15,1,1.0
TinaCipollari11,twitter,False,female,female,female,right,right,right,no,no,no,45,3,1.0
UMM1776,twitter,True,unknown,unknown,unknown,right,right,right,no,unknown,unknown,45,3,0.6666666666666666
ValerieAdelaa,twitter,True,unknown,unknown,unknown,right,right,right,unknown,unknown,unknown,45,3,1.0
VictorCanada,twitter,True,male,male,male,right,center-right,unknown,no,no,no,45,3,0.6666666666666666
X53436309,twitter,True,male,male,male,left,left,left,yes,unknown,unknown,45,3,0.6666666666666666
XxxSweetbabyk,twitter,True,female,female,female,unknown,unknown,unknown,unknown,unknown,unknown,30,2,1.0
addamseraho,twitter,True,female,female,female,unknown,unknown,unknown,yes,unknown,unknown,45,3,0.6666666666666666
arelyolivaresss,twitter,True,female,female,female,unknown,unknown,unknown,unknown,unknown,unknown,45,3,1.0
bdubbin1427,twitter,False,male,male,male,center-right,unknown,unknown,no,no,no,45,3,0.6666666666666666
dennisp101155,twitter,True,unknown,female,unknown,left,left,left,yes,unknown,unknown,45,3,0.3333333333333333
donnellymjd,twitter,True,non-binary,male,unknown,left,left,left,yes,unknown,unknown,45,3,0.3333333333333333
drdoom425,twitter,True,male,male,male,right,right,right,no,no,no,15,1,1.0
emmymrtin,twitter,True,female,female,female,unknown,unknown,unknown,unknown,unknown,unknown,30,2,1.0
jackhutton,twitter,True,male,female,unknown,left,left,left,no,unknown,unknown,45,3,0.3333333333333333
jasonschott65,twitter,False,female,female,female,unknown,unknown,unknown,unknown,unknown,unknown,45,3,1.0
joecap10606481,twitter,True,female,female,female,right,right,right,no,unknown,unknown,45,3,0.6666666666666666
leubanks63,twitter,True,unknown,male,unknown,right,right,right,no,unknown,unknown,45,3,0.3333333333333333
michaelchoplin,twitter,True,male,male,male,right,right,right,unknown,unknown,unknown,30,2,1.0
mrsrflamm,twitter,True,female,female,female,right,right,right,no,unknown,unknown,45,3,0.6666666666666666
naluolvv_,twitter,False,female,female,female,unknown,unknown,unknown,yes,unknown,unknown,45,3,0.6666666666666666
nam_rood_,twitter,True,male,unknown,unknown,unknown,unknown,unknown,no,unknown,unknown,45,3,0.3333333333333333
patriot_hammer,twitter,True,male,male,male,right,right,right,no,no,no,30,2,1.0
purduestudent69,twitter,True,male,male,male,center-right,unknown,unknown,no,no,no,45,3,0.6666666666666666
ruggimat,twitter,True,male,male,male,right,right,right,no,no,no,30,2,1.0
sbanda13,twitter,True,male,male,male,center-right,unknown,unknown,no,no,no,45,3,0.6666666666666666
smartreposts,twitter,False,male,male,male,right,right,right,no,unknown,unknown,45,3,0.6666666666666666
teacherBeej,twitter,True,female,female,female,left,left,left,unknown,unknown,unknown,15,1,1.0
therealdavearn1,twitter,True,male,male,male,center-right,center-right,center-right,no,no,no,45,3,1.0
viejas46,twitter,True,male,male,male,right,right,right,no,no,no,45,3,1.0
